"coloration.key","variable","Label","Display.Order","Color","R","G","B","hexvalue","shape","size","alpha"
"Performance","Terminated","Terminated",1,"Blue, Accent 1",13,13,209,"#0D0DD1",NA,NA,NA
"Performance","Unterminated","NotTerminated",2,"orange",219,132,3,"#DB8403",NA,NA,NA
"Topline","DHS Services Contract Spend","DHS Contract Spending",1,"Blue, Accent 1",13,13,209,"#0D0DD1",NA,NA,NA
"Topline","Other DHS Outlays","Other DHS Outlays",2,"Light Blue Accent 6",75,165,227,"#4BA5E3",NA,NA,NA
"Topline","Services Contract %","Contract Outlays as Percent of DHS Outlays",3,"Blue, Accent 1, Darler 50%",13,13,209,"#0D0DD1",NA,NA,NA
"Dollar Type","Contract Obligations","Contract Obligations",1,"orange",219,132,3,"#DB8403",NA,NA,NA
"Dollar Type","Contract","Contract",1,"orange",219,132,3,"#DB8403",NA,NA,NA
"Dollar Type","Grant Awards","Grant Awards",2,"olive green",137,165,78,"#89A54E",NA,NA,NA
"Dollar Type","Grant","Grant",2,"olive green",137,165,78,"#89A54E",NA,NA,NA
"Dollar Type","Gross Outlays","Gross Outlays",3,"purple",113,88,143,"#71588F",NA,NA,NA
"Dollar Type","Outlay","Outlay",3,"purple",113,88,143,"#71588F",NA,NA,NA
"Dollar Type","Outlays","Outlays",3,"purple",113,88,143,"#71588F",NA,NA,NA
"Dollar Type","Offset-Financed Outlays","Offset-Financed Outlays",6,"red",170,70,67,"#AA4643",NA,NA,NA
"Dollar Type","Outlay Residual","Outlay Residual",6,"red",170,70,67,"#AA4643",NA,NA,NA
"Dollar Type","Net Outlays","Net Outlays",5,"Blue, Accent 1",13,13,209,"#0D0DD1",NA,NA,NA
"Dollar Type","Gross Outlays (Net Outlays+Outlays Financed by Offsets)","Gross Outlays (Net Outlays+Outlays Financed by Offsets)",7,"purple",113,88,143,"#71588F",NA,NA,NA
"Dollar Type","Other Outlays (Gross Outlays - Contract Obligations - Grant Awards)","Other Outlays (Gross Outlays - Contract Obligations - Grant Awards)",8,"purple",113,88,143,"#71588F",NA,NA,NA
"Dollar Type","Other Outlays (Contract Obligations - Grant Awards)","Other Outlays (Gross Outlays - Contract Obligations)",4,"purple",113,88,143,"#71588F",NA,NA,NA
"Dollar Type","Contract Obligations / Gross Outlays","Contract Obligations / Gross Outlays",1,"orange",219,132,3,"#DB8403",NA,NA,NA
"Dollar Type","Grant Awards / Gross Outlays","Grant Awards / Gross Outlays",2,"olive green",137,165,78,"#89A54E",NA,NA,NA
"PBL","No history [0-3]","No history [0-3]",1,"red",170,70,67,"#AA4643",NA,NA,NA
"PBL","Outer edge [4-5]","Outer edge [4-5]",2,"pink",217,150,148,"#D99694",NA,NA,NA
"PBL","Uncommon [6-8]","Uncommon [6-8]",3,"yellow",255,192,0,"#FFC000",NA,NA,NA
"PBL","Promising [9-10]","Promising [9-10]",4,"blue",69,114,167,"#4572A7",NA,NA,NA
"PBL","1","1",1,"red",170,70,67,"#AA4643",NA,NA,NA
"PBL","2","2",2,"red",170,70,67,"#AA4643",NA,NA,NA
"PBL","3","3",3,"red",170,70,67,"#AA4643",NA,NA,NA
"PBL","4","4",4,"pink",217,150,148,"#D99694",NA,NA,NA
"PBL","5","5",5,"pink",217,150,148,"#D99694",NA,NA,NA
"PBL","6","6",6,"yellow",255,192,0,"#FFC000",NA,NA,NA
"PBL","7","7",7,"yellow",255,192,0,"#FFC000",NA,NA,NA
"PBL","8","8",8,"yellow",255,192,0,"#FFC000",NA,NA,NA
"PBL","9","9",9,"blue",69,114,167,"#4572A7",NA,NA,NA
"PBL","10","10",10,"blue",69,114,167,"#4572A7",NA,NA,NA
"PBL","Official PBL","Official PBL",1,"olive green",137,165,78,"#89A54E",NA,NA,NA
"PBL","Other","Other",2,"orange",219,132,3,"#DB8403",NA,NA,NA
